,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,UUT_RW_DRIVE_FILTERED_SPEED_RPM1,UUT_RW_DRIVE_FILTERED_SPEED_RPM2,UUT_RW_DRIVE_FILTERED_SPEED_RPM3,UUT_IMU_IMU_AVG_VECTOR_BODY1_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY2_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY3_DPS,UUT_REFS_SUN_MODEL_VECTOR_ECI1,UUT_REFS_SUN_MODEL_VECTOR_ECI2,UUT_REFS_SUN_MODEL_VECTOR_ECI3,UUT_REFS_MOON_MODEL_VECTOR_ECI1,UUT_REFS_MOON_MODEL_VECTOR_ECI2,UUT_REFS_MOON_MODEL_VECTOR_ECI3,UUT_ATT_CTRL_PAYLOAD_ERROR1,UUT_ATT_CTRL_PAYLOAD_ERROR2,UUT_ATT_CTRL_PAYLOAD_ERROR3,UUT_ATT_CTRL_CONTROL_TO_PAYLOAD,UUT_ATT_CTRL_PAYLOAD_CONTROL_USED,timestamp_
0,1679324209.87067,45005.4561327546,1679324209.87067,45005.4561327546,4865,1.35822722913205e+19,1,512,1,732639445,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639445.599996,YES,1256283,26,85,8,20,8.0000001,4.5599999088,5.3899998922,4.8299999034,11.7740005887,5.3899998922,5.05150020206,2.99300011972,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.21350000854,0.69600002784,0.36600001464,0.02450000098,5.02400020096,18.27450073098,9.67600038704,8.08850032354,1.36150005446,-0.775000031,0.8400000336,OFF,732639445.799996,5.876219706189,-4321.86828390657,-5049.78346751081,7.07467479,-1.736641915,1.49360159,2873.2678363366,-3218.52593907369,-5056.11668719415,6.67004301,3.630324775,1.47856166,YES,732639445,0.220099988995,-4320.47884397604,-5050.97528745122,7.074864585,-1.74042473,1.48812591,7.75428555919999,8.79142839559999,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.171479707070405,-0.985169164296616,0.0059346793813064,0.0010802399783952,0.000952195,-0.000387345,-0.003541865,YES,NO,YES,51,0,0.00200000008,0,9,8,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.570559985736,0.300479992488,-0.764319980892,-0.944279976393,0.329119991772,-3.9999999e-05,-0.979439975514,0.126959996826,0.156719996082,0.0003833629884991,0.00105099696847,0.356669001299929,0.934230116973095,-305.7620152881,-805.8960402948,604.5120302256,0.0309397200088728,0.0916732444707343,-0.393621993446215,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213239994669,-0.158359996041,0,0,0,0,0,2023-03-20 14:56:49.870670080
1,1679324210.95173,45005.4561452662,1679324210.95173,45005.4561452662,4866,1.35822722913205e+19,1,512,2,732639446,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639446.599996,YES,1256288,26,85,8,20,8.0000001,4.5599999088,5.3899998922,4.8299999034,11.7740005887,5.3899998922,4.9300001972,2.96700011868,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.21350000854,0.70200002808,0.36600001464,0.02450000098,5.02550020102,17.76700071068,9.71900038876,8.11050032442,1.58700006348,-0.775000031,0.69350002774,OFF,732639446.799996,12.95439935228,-4323.60382381979,-5048.2855475857,7.07439299,-1.73179282,1.500465995,2879.93951600301,-3214.89195925539,-5054.63380726829,6.666102085,3.63470761,1.48543475,YES,732639446,7.29503963524799,-4322.21654388916,-5049.4837275258,7.074604075,-1.735643945,1.494980135,7.75428555919999,8.79142839559999,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.169758259604834,-0.985464105290717,0.0064508808709823,0.0009884584802308,0.00104594,-0.000373725,-0.00346735,YES,NO,YES,51,0,0.00200000008,0,8,8,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.569959985751,0.300879992478,-0.764599980885,-0.945439976364,0.325839991854,0.0,-0.979839975504,0.123679996908,0.156999996075,0.0003834009884979,0.0010509829684705,0.356703064298907,0.934217111973485,-303.7100151855,-807.0660403533,611.9900305995,0.0355233822324095,0.0928191600266184,-0.38961128900062,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213239994669,-0.158359996041,0,0,0,0,0,2023-03-20 14:56:50.951729920
2,1679324211.92979,45005.4561565856,1679324211.92979,45005.4561565856,4867,1.35822722913205e+19,1,512,3,732639447,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639447.599996,YES,1256293,26,85,8,20,8.0000001,4.5599999088,5.3899998922,4.8299999034,11.8120005906,5.3899998922,4.95450019818,2.99300011972,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.2075000083,0.70200002808,0.36600001464,0.02450000098,5.02550020102,16.9275006771,9.6975003879,8.08850032354,1.35200005408,-0.8300000332,0.66400002656,OFF,732639447.799996,20.028658998567,-4325.33322373332,-5046.7816676609,7.07411862,-1.72699396,1.507318785,2886.60365566981,-3211.25507943723,-5053.14494734274,6.662199405,3.63905687,1.49229614,YES,732639447,14.369719281514,-4323.94948380251,-5047.98546760071,7.07435769,-1.730984785,1.50173514,7.75428555919999,8.79142839559999,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.168021532639569,-0.985757824784843,0.0070286868594262,0.00091299898174,0.001178135,-0.00046047,-0.00344403,YES,NO,YES,51,0,0.00200000008,1,10,8,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.569399985765,0.30119999247,-0.764919980877,-0.946559976336,0.322479991938,0.0,-0.980199975495,0.12039999699,0.157239996069,0.0003834389884968,0.0010509689684709,0.356737126297885,0.934204105973875,-297.3180148659,-809.8480404924,601.2420300621,0.0435447911235987,0.0876625400251396,-0.388465373444736,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213239994669,-0.158359996041,0,0,0,0,0,2023-03-20 14:56:51.929789952
3,1679324212.90184,45005.4561678356,1679324212.90184,45005.4561678356,4868,1.35822722913205e+19,1,512,4,732639448,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639448.599996,YES,1256298,26,85,8,20,8.0000001,4.5599999088,5.3899998922,4.85499990289999,11.7920005896,5.3899998922,4.95450019818,3.01900012076,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.21950000878,0.68950002758,0.3725000149,0.02450000098,5.02550020102,17.14200068568,9.7400003896,8.11050032442,1.5775000631,-0.90350003614,0.725000029,OFF,732639448.799996,27.1026386448679,-4327.05782364709,-5045.27092773644,7.07383541,-1.72219272,1.51416954,2893.26389533679,-3207.61385961929,-5051.64922741752,6.658287705,3.64340121,1.49915552,YES,732639448,21.444138927793,-4325.67794371609,-5046.48054767595,7.07405246,-1.726143885,1.50868689,7.75428555919999,8.79142839559999,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.16628099267438,-0.986048369779032,0.0076524258469514,0.000802548983949,0.001238345,-0.00038304,-0.0036351,YES,NO,YES,51,0,0.00200000008,1,10,8,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.568759985781,0.301439992464,-0.765279980868,-0.947719976307,0.319159992021,3.9999999e-05,-0.980559975486,0.117119997072,0.157519996062,0.0003834779884956,0.0010509549684713,0.356771187296864,0.934191097974266,-297.0080148504,-808.3100404155,603.2680301634,0.0469825377912513,0.0916732444707343,-0.399351571225636,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213279994668,-0.158359996041,0,0,0,0,0,2023-03-20 14:56:52.901839872
4,1679324213.98233,45005.4561803472,1679324213.98233,45005.4561803472,4869,1.35822722913205e+19,1,512,5,732639449,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639449.599996,YES,1256303,26,85,8,20,8.0000001,4.5599999088,5.3899998922,4.85499990289999,11.7920005896,5.3899998922,5.05150020206,2.99300011972,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.21350000854,0.68950002758,0.3725000149,0.02450000098,5.02550020102,17.88400071536,9.7400003896,8.08850032354,1.29600005184,-0.65900002636,0.76650003066,OFF,732639449.799996,34.1763182911839,-4328.7776035611,-5043.75332781232,7.073543365,-1.7173891,1.52101826,2899.92023500398,-3203.96827980157,-5050.14662749265,6.65436698,3.64774063,1.506012885,YES,732639449,28.517178574141,-4327.40504362973,-5044.97114775142,7.0739053,-1.72106208,1.51563848,7.75428555919999,8.79142839559999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.164494877210102,-0.986343342273132,0.0082265658354686,0.0007281849854362,0.001041625,-0.00035141,-0.003594765,YES,NO,YES,51,0,0.00200000008,1,10,7,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,CAL,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.568159985796,0.301799992455,-0.76559998086,-0.948839976279,0.315719992107,3.9999999e-05,-0.980919975477,0.113719997157,0.157759996056,0.0003835159884945,0.0010509409684717,0.356805248295842,0.934178089974656,-293.6040146802,-806.2660403133,602.8520301426,0.0360963400103516,0.0939650755825026,-0.396486782335925,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213279994668,-0.158359996041,0,0,0,0,0,2023-03-20 14:56:53.982330112
5,1679324214.95392,45005.4561915856,1679324214.95392,45005.4561915856,4870,1.35822722913205e+19,1,512,6,732639450,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639450.599996,YES,1256308,26,85,8,20,8.0000001,4.58499990829999,5.3899998922,4.85499990289999,11.7920005896,5.3899998922,4.95450019818,2.96700011868,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.19550000782,0.68350002734,0.36600001464,0.02450000098,5.02550020102,18.31350073254,9.7400003896,8.11050032442,1.35200005408,-0.6775000271,0.77150003086,OFF,732639450.799996,41.249717937514,-4330.49258347535,-5042.22888788854,7.07324248,-1.712583105,1.52786493,2906.57263467136,-3200.31837998407,-5048.63718756812,6.65043724,3.65207512,1.51286822,YES,732639450,35.591078220446,-4329.1236835438,-5043.4516678274,7.073602475,-1.716302205,1.52242469,7.75428555919999,8.79142839559999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.162712278245754,-0.986634005767319,0.0088069918238601,0.0006709614865807,0.00112762,-0.000246475,-0.003671715,YES,NO,YES,51,0,0.00200000008,1,8,6,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.567559985811,0.302159992446,-0.765879980853,-0.94999997625,0.312279992193,0.0,-0.981239975469,0.110359997241,0.157959996051,0.0003835539884933,0.0010509269684721,0.35683930929482,0.934165079975046,-289.7900144895,-811.8520405926,611.3980305699,0.0406800022338883,0.0991216955839814,-0.401070444559462,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213279994668,-0.158359996041,0,0,0,0,0,2023-03-20 14:56:54.953920000
6,1679324215.92684,45005.4562028472,1679324215.92684,45005.4562028472,4871,1.35822722913205e+19,1,512,7,732639451,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639451.599996,YES,1256313,26,85,8,20,8.0000001,4.58499990829999,5.3899998922,4.85499990289999,11.7540005877,5.3899998922,4.97850019914,2.94100011764,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.24400000976,0.6350000254,0.36600001464,0.02450000098,5.02400020096,18.86050075442,9.76150039046,8.11050032442,1.72800006912,-0.79350003174,0.74200002968,OFF,732639451.799996,48.3227975838599,-4332.20276338985,-5040.6975879651,7.072932765,-1.707774745,1.53470954,2913.22109433893,-3196.66414016678,-5047.12090764394,6.64649849,3.65640468,1.519721515,YES,732639451,42.664517866774,-4330.83782345809,-5041.92528790372,7.073308285,-1.711529135,1.52931025,7.75428555919999,8.79142839559999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.160971877280562,-0.986914223761715,0.0093790833124183,0.0006023199879536,0.001140305,-0.00032521,-0.003611035,YES,NO,YES,51,0,0.00200000008,1,8,6,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.566999985825,0.302479992438,-0.766159980846,-0.951079976223,0.308959992276,0.0,-0.98159997546,0.107039997324,0.158199996045,0.0003835929884922,0.0010509129684726,0.356873369293798,0.934152067975437,-286.9020143451,-813.440040672,615.5320307766,0.0412529600118304,0.0951109911383868,-0.39763269789181,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213279994668,-0.15839999604,0,0,0,0,0,2023-03-20 14:56:55.926840064
7,1679324216.99771,45005.4562152431,1679324216.99771,45005.4562152431,4872,1.35822722913205e+19,1,512,8,732639452,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639452.599996,YES,1256318,26,85,8,20,8.0000001,4.58499990829999,5.3899998922,4.85499990289999,11.7740005887,5.3899998922,4.83200019328,2.96700011868,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.2075000083,0.70800002832,0.36600001464,0.02450000098,5.02550020102,18.74300074972,9.80400039216,8.1325003253,1.59650006386,-0.7200000288,0.86650003466,OFF,732639452.799996,55.3955772302209,-4333.90814330458,-5039.15946804201,7.07261421,-1.702964025,1.541552085,2919.86563400671,-3193.00558034971,-5045.59774772009,6.64255073,3.6607293,1.526572765,YES,732639452,49.737717513114,-4332.54728337262,-5040.39228798037,7.072979955,-1.706765795,1.536195735,7.75428555919999,8.79142839559999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.159145065317098,-0.987204148255916,0.0100242062995158,0.0005416504891669,0.00128767,-0.00033635,-0.003746085,YES,NO,YES,51,0,0.00200000008,1,9,6,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.56639998584,0.302759992431,-0.766519980837,-0.952199976195,0.305439992364,-3.9999999e-05,-0.981919975452,0.10359999741,0.158439996039,0.000383630988491,0.001050898968473,0.356907428292776,0.934139055975827,-284.340014217,-813.7760406888,609.7980304899,0.0498473266809617,0.0945380333604447,-0.405081149005057,0.999959975001,-0.009319999767,-0.004039999899,0.964079975898,-0.213319994667,-0.15839999604,0,0,0,0,0,2023-03-20 14:56:56.997710080
8,1679324218.95907,45005.4562379514,1679324218.95907,45005.4562379514,4873,1.35822722913205e+19,1,512,9,732639453,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639453.599996,YES,1256323,26,85,8,20,8.0000001,4.58499990829999,5.4149998917,4.85499990289999,11.7740005887,5.3899998922,4.97850019914,2.99300011972,4.98550019942,3.32050013282,9.04800036192,3.9650001586,0.2075000083,0.69600002784,0.3725000149,0.02450000098,5.02400020096,18.33300073332,9.80400039216,8.11050032442,1.59650006386,-0.6350000254,0.90350003614,OFF,732639453.799996,62.4680168765989,-4335.60870321955,-5037.61448811926,7.072286825,-1.69815094,1.54839256,2926.50619367468,-3189.34268053285,-5044.0677477966,6.63859397,3.66504898,1.53342196,YES,732639453,56.8106371594679,-4334.25158328741,-5038.85258805735,7.072635455,-1.70197173,1.54285943,7.9371426984,8.8514283944,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.157306686853866,-0.987492708250145,0.0106062822878743,0.000473698990526,0.000989125,-0.00032275,-0.003756665,YES,NO,YES,51,0,0.00200000008,1,8,6,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.565759985856,0.30319999242,-0.76679998083,-0.953359976166,0.301879992453,-3.9999999e-05,-0.982239975444,0.100119997497,0.158679996033,0.0003836689884899,0.0010508859684734,0.356941487291755,0.934126041976217,-284.4460142223,-810.7100405355,614.1560307078,0.0332315511206411,0.0951109911383868,-0.405654106782999,0.999959975001,-0.009319999767,-0.004039999899,0.964039975899,-0.213319994667,-0.15839999604,0,0,0,0,0,2023-03-20 14:56:58.959069952
9,1679324218.96006,45005.456237963,1679324218.96006,45005.456237963,4874,1.35822722913205e+19,1,512,10,732639454,0.6,REALTIME,115,0,90,0,0,0,EN,EN,732639454.599996,YES,1256328,26,85,8,20,8.0000001,4.58499990829999,5.4149998917,4.85499990289999,11.7740005887,5.3899998922,5.05150020206,2.99300011972,4.98550019942,3.32050013282,9.04300036172,3.9650001586,0.2075000083,0.68950002758,0.36600001464,0.02450000098,5.02550020102,17.57150070286,9.82550039302,8.1550003262,1.45550005822,-0.65900002636,0.81300003252,OFF,732639454.799996,69.540136522993,-4337.30444313476,-5036.06268819685,7.071950605,-1.69333551,1.55523094,2933.14281334285,-3185.67548071621,-5042.53090787344,6.63462822,3.669363705,1.540269085,YES,732639454,63.8832568058369,-4335.95090320244,-5037.30588813469,7.07231129,-1.69716329,1.54981279,7.9371426984,8.8514283944,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,35.0009976666,NOT_ACTIVE,NO,YES,-0.155489260390214,-0.987774042244518,0.0111964892760702,0.0003607114927857,0.001113995,-0.0003776,-0.00367548,YES,NO,YES,51,0,0.00200000008,1,9,7,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.565079985873,0.303559992411,-0.767159980821,-0.954439976139,0.298359992541,3.9999999e-05,-0.982519975437,0.096679997583,0.158999996025,0.0003837079884887,0.0010508719684738,0.356975546290733,0.934113026976608,-280.4140140207,-810.180040509,610.1080305054,0.0406800022338883,0.0928191600266184,-0.401070444559462,0.999959975001,-0.009319999767,-0.004039999899,0.964039975899,-0.213319994667,-0.15839999604,0,0,0,0,0,2023-03-20 14:56:58.960059904
