,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,timestamp_
0,1667253793.72943,44865.7522422338,1667253793.72943,44865.7522422338,16794,1.35822722913205e+19,1,512,1,720569030,0.0,REALTIME,81,0,227,0,0,0,EN,EN,720569029.999995,YES,664668,25,85,13,19,19.20000024,16.3799996724,16.8299996634,16.2799996744,12.300000615,13.8849997222999,16.16100064644,12.69950050798,4.98800019952,3.32300013292,3.90150015606,3.9650001586,0.21950000878,0.6350000254,0.02450000098,0.02450000098,5.0225002009,15.95100063804,20.33650081346,18.8525007541,1.9625000785,0.22600000904,0.70550002822,OFF,720569030.199995,-59.6699570165019,-4232.45606837718,-5298.36865508155,7.317727225,0.519944785,-0.49451291,715.522044223895,-4170.09591149519,-5299.83805500808,7.396951695,1.922494435,-0.510793705,YES,720569029,-68.4511765774409,-4233.07670834615,-5297.77031511147,7.317488205,0.5147203,-0.50262176,19.5371424664,20.5114281611999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,6.7169995522,NOT_ACTIVE,NO,YES,0.397315883553682,0.191286000674279,-0.0189806501203869,0.897323492053529,-0.000156265,-9.918e-05,6.2e-06,YES,YES,YES,8,0,0.00150000006,53,30,6,AUTO,AUTO,AUTO,0.810654462890624,0.360700690429687,0.444730278808593,0.122267461914062,-0.0001474999940999,1.74999992999999e-05,-0.000124999995,460,172,TRACK,OK,22,22,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.305279992368,0.952279976193,3.9999999e-05,-0.707079982323,-0.707119982322,0.0,0.573959985651,-0.679239983019,0.457359988566,8.877199733684e-05,0.0010933879671983,0.0932339252029821,0.995643597130691,2022-10-31 22:03:13.729430016
1,1667253795.58046,44865.7522636574,1667253795.58046,44865.7522636574,16795,1.35822722913205e+19,1,512,2,720482656,0.8,STORED,6,0,66,0,0,0,EN,EN,720482656.799995,YES,232802,26,85,9,19,12.80000016,8.9249998215,9.8049998039,9.2899998142,12.0260006013,11.2899997742,8.9225003569,4.6850001874,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.64100002564,0.02450000098,0.02450000098,5.02400020096,4.100000164,12.35550049422,11.53850046154,0.77950003118,-0.56150002246,0.0050000002,OFF,720482656.999995,2621.41512892923,4276.4517061774,4542.1756528912,-6.643528395,0.763927925,3.108871365,1863.13564684321,4661.19406694028,4537.97439310126,-7.00949779,-0.245789,3.124259675,YES,720482656,2628.05636859717,4275.68636621567,4539.06483304674,-6.640491365,0.76856721,3.114622895,13.1257140231999,14.1028568608,9,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.694921929101561,0.378342840933143,-0.568728438125431,0.224695640006087,-0.0014587,0.00423363,0.020730965,YES,YES,YES,4,0,0.0,6,22,1,AUTO,AUTO,AUTO,-0.910280259765625,0.323925813476562,0.0680730571289062,0.248652317871093,0.0038549998458,0.0197974992081,-0.0066399997344,452,148,TRACK,OK,11,11,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.439559989011,0.286079992848,0.851439978714,0.027719999307,-0.254919993627,0.966559975836,0.235959994101,0.811359979716,0.53479998663,8.048499758545e-05,0.0010937929671862,0.0856405554307832,0.996325465110235,2022-10-31 22:03:15.580460032
2,1667253795.68446,44865.7522648611,1667253795.68446,44865.7522648611,16796,1.35822722913205e+19,1,512,3,720482716,0.8,STORED,6,0,66,0,0,0,EN,EN,720482716.799996,YES,233102,26,85,9,19,12.00000015,8.6599998268,9.52499980949999,8.9899998202,12.0260006013,11.0449997791,8.48600033944,4.31450017258,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.19550000782,0.62850002514,0.02450000098,0.02450000098,5.02400020096,4.100000164,12.07050048282,11.16700044668,0.77950003118,-0.56150002246,0.0,OFF,720482716.999996,2217.24034913797,4314.17932429102,4718.04136409791,-6.82385952,0.49343475,2.75097203,1438.56992807149,4635.69302821533,4714.77242426136,-7.136915345,-0.603866045,2.76664861,YES,720482716,2224.06118879693,4313.68204431588,4715.28712423563,-6.82128949,0.49780164,2.75708199,12.7599997448,13.6742854407999,9,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.875101166497976,-0.0357234157855316,-0.164843251703134,0.453595026928099,-0.001117835,0.00753024,0.020831575,YES,YES,YES,4,0,0.0,7,21,0,AUTO,AUTO,AUTO,-0.764014537597656,0.252782996582031,-0.55719386328125,0.204737737792968,0.0072174997112999,0.0201874991925,-0.005649999774,216,148,TRACK,OK,16,19,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.123239996919,-0.178439995539,0.976199975595,-0.572639985684,0.061799998455,0.817479979563,0.594119985147,0.145519996362,0.791079980223,8.287699751369e-05,0.0010936149671915,0.0878199443654015,0.996135731115927,2022-10-31 22:03:15.684460032
3,1667253795.90946,44865.7522674653,1667253795.90946,44865.7522674653,16797,1.35822722913205e+19,1,512,4,720482776,0.8,STORED,6,0,66,0,0,0,EN,EN,720482776.799996,YES,233402,26,85,9,19,12.00000015,8.39999983199999,9.1849998163,8.7249998255,12.0080006004,10.7749997844999,8.33150033326,4.08950016358,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.71400002856,0.02450000098,0.02450000098,5.02400020096,4.100000164,11.8050004722,10.8975004359,0.77950003118,-0.61050002442,0.0,OFF,720482776.999996,1803.12432984377,4335.63468321825,4872.04181639789,-6.9750193,0.221858715,2.38034445,1007.35952963202,4588.77193056139,4869.72029651397,-7.23116927,-0.9593863,2.396236465,YES,720482776,1810.09836949507,4335.41106322943,4869.66073651695,-6.97274053,0.226403845,2.386770645,12.3314283248,13.3085711624,19,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.712252113254957,-0.460632909287341,0.281159024376819,0.448847204523055,0.00084836,0.005111505,0.02079322,YES,YES,YES,4,0,0.0,2,19,0,AUTO,AUTO,AUTO,-0.28623237109375,0.135305169921875,-0.944578775878906,0.0868013666992187,0.0053274997868999,0.0212049991518,-0.0019549999218,192,148,TRACK,OK,11,12,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.374159990646,-0.021359999466,0.927119976822,-0.304599992385,0.728479981788,0.613639984659,0.096079997598,-0.321839991954,0.941919976452,8.52699974418999e-05,0.001093430967197,0.0899989143000324,0.995941229121762,2022-10-31 22:03:15.909459968
4,1667253796.01246,44865.7522686574,1667253796.01246,44865.7522686574,16798,1.35822722913205e+19,1,512,5,720482836,0.8,STORED,6,0,66,0,0,0,EN,EN,720482836.799995,YES,233702,26,85,9,19,11.20000014,8.08999983819999,8.8549998229,8.4199998316,12.0260006013,10.5199997896,7.9325003173,3.55900014236,4.98550019942,3.32050013282,3.89650015586,3.9550001582,0.2075000083,0.65900002636,0.02450000098,0.02450000098,5.02400020096,4.11950016478,11.47700045908,10.56350042254,0.79800003192,-0.68950002758,0.0,OFF,720482836.999995,1380.83071095846,4340.80708295963,5003.47340982631,-7.096403925,-0.04931751,1.998954465,571.495931425202,4520.65627396717,5002.11004989448,-7.29199844,-1.31023922,2.014988445,YES,720482836,1387.92623060368,4340.85340295731,5001.47178992639,-7.094620705,-0.04485386,2.005370215,12.0257140451999,12.942856884,19,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.27892949242141,-0.73419343881613,0.570272856094542,0.240722167685556,-0.00056247,0.00295773,0.020665235,YES,YES,YES,4,0,0.0,1,22,0,AUTO,AUTO,AUTO,-0.304583893554687,-0.0236397167968749,0.948791438964843,0.08040286328125,0.0028899998843999,0.0201224991950999,-0.0042799998288,200,148,TRACK,OK,17,18,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.344759991381,0.447959988801,0.824919979377,0.494079987648,0.606679984833,0.622759984431,-0.429759989256,-0.058839998529,0.901039977474,8.766099737017e-05,0.0010932419672027,0.0921774522346763,0.99574196212774,2022-10-31 22:03:16.012460032
5,1667253796.23646,44865.75227125,1667253796.23646,44865.75227125,16799,1.35822722913205e+19,1,512,6,720482896,0.8,STORED,6,0,66,0,0,0,EN,EN,720482896.799995,YES,234002,26,85,9,19,11.20000014,7.72999984539999,8.54999982899999,8.1099998378,12.0260006013,10.2499997949999,7.55150030206,3.40550013622,4.98550019942,3.32050013282,3.89650015586,3.9550001582,0.19550000782,0.65300002612,0.02450000098,0.02450000098,5.02400020096,4.100000164,11.20850044834,10.29100041164,0.78900003156,-0.65300002612,0.0,OFF,720482896.999995,952.161912391902,4329.73638351317,5111.73258441335,-7.187462175,-0.319400985,1.60823497,132.994553350271,4431.66109841693,5111.3336644333,-7.319083595,-1.655093015,1.624336715,YES,720482896,959.348592032567,4330.0536834973,5110.12112449393,-7.18618362,-0.31482774,1.614871515,11.599999768,12.5771426055999,18,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.266244624675107,0.760103300797933,-0.589964167700716,0.0574370328512593,-0.0026067,0.003790615,0.02068519,YES,YES,YES,4,0,0.00050000002,2,25,0,AUTO,AUTO,AUTO,-0.768784308593749,0.05364816796875,0.582582699218749,0.258243991699218,0.0034524998618999,0.0197199992112,-0.0075424996983,200,148,TRACK,OK,10,10,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.099319997517,0.538919986527,0.836479979088,0.588439985289,-0.258319993542,0.766159980846,-0.370119990747,0.414919989627,0.831159979221,9.00529972984099e-05,0.0010930479672085,0.0943555491693334,0.995537929133861,2022-10-31 22:03:16.236460032
6,1667253796.34446,44865.7522725,1667253796.34446,44865.7522725,16800,1.35822722913205e+19,1,512,7,720482956,0.8,STORED,6,0,66,0,0,0,EN,EN,720482956.799995,YES,234302,26,85,8,19,11.20000014,7.3949998521,8.2899998342,7.79999984399999,12.0080006004,9.9749998005,7.41600029664,3.200000128,4.98550019942,3.32050013282,3.89150015566,3.9550001582,0.19550000782,0.66550002662,0.02450000098,0.02450000098,5.02400020096,4.100000164,10.91850043674,9.9950003998,0.79800003192,-0.70200002808,0.0,OFF,720482956.999995,518.945874052705,4302.52950487351,5196.32824018357,-7.247948735,-0.586963355,1.21077672,-306.122884693855,4322.20510388973,5196.8956001552,-7.31256921,-1.991945975,1.22687231,YES,720482956,526.193233690337,4303.1155848442,5195.11752024411,-7.247257465,-0.582382505,1.218053755,11.2942854884,12.2714283259999,18,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.729622283907554,0.510395093792097,-0.338463432730731,0.304287094414258,-0.00218134,0.005346565,0.02056329,YES,YES,YES,4,0,0.00050000002,5,25,1,AUTO,AUTO,AUTO,-0.915414911132812,0.0990204370117187,-0.0176801860351562,0.389740817382812,0.0044949998201999,0.0196524992139,-0.0030674998773,204,148,TRACK,OK,7,7,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.285039992874,0.155039996124,0.945879976353,-0.304439992389,-0.618599984535,0.724319981892,0.003439999914,0.506119987347,0.862479978438,9.244399722668e-05,0.0010928479672145,0.096533194104004,0.995329131140125,2022-10-31 22:03:16.344460032
7,1667253796.55746,44865.7522749653,1667253796.55746,44865.7522749653,16801,1.35822722913205e+19,1,512,8,720483016,0.8,STORED,6,0,66,0,0,0,EN,EN,720483016.799995,YES,234602,26,85,8,19,10.40000013,7.1199998576,7.99999983999999,7.48499985029999,11.9880005994,9.699999806,7.07550028302,2.94100011764,4.98550019942,3.32050013282,3.89650015586,3.9550001582,0.19550000782,0.66550002662,0.02450000098,0.02450000098,5.02550020102,4.100000164,10.6475004259,9.67600038704,0.79800003192,-0.51900002076,0.0075000003,OFF,720483016.999995,83.037655848117,4259.3336470333,5256.84327715782,-7.277234515,-0.851926255,0.80646795,-743.823522808822,4192.78497036074,5258.37431708127,-7.271998715,-2.320045365,0.822482435,YES,720483016,90.31439548428,4260.18334699082,5256.03393719829,-7.277013985,-0.847539445,0.813282075,10.9885712088,11.9657140463999,17,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.921982051560358,0.0574122383517552,0.065539348689213,0.377302909453941,-0.000564335,0.005634285,0.020754805,YES,YES,YES,4,0,0.0,3,21,0,AUTO,AUTO,AUTO,-0.667499228515624,0.128226486816406,-0.607726711425781,0.410695741210937,0.0056899997723999,0.0203899991843999,-0.0035299998587999,200,152,TRACK,OK,10,11,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.048239998794,-0.10119999747,0.993679975158,-0.889559977761,0.178839995529,0.420319989492,0.156279996093,0.282439992939,0.946479976338,9.483399715498e-05,0.0010926439672206,0.0987103790386885,0.995115570146532,2022-10-31 22:03:16.557459968
8,1667253796.67347,44865.7522763079,1667253796.67347,44865.7522763079,16802,1.35822722913205e+19,1,512,9,720483076,0.8,STORED,6,0,66,0,0,0,EN,EN,720483076.799995,YES,234902,26,85,8,19,10.40000013,6.84499986309999,7.68499984629999,7.18999985619999,11.9880005994,9.4399998112,6.89200027568,2.57450010298,4.98550019942,3.32050013282,3.89150015566,3.9550001582,0.21950000878,0.66550002662,0.02450000098,0.02450000098,5.02550020102,4.100000164,10.33300041332,9.37650037506,0.81700003268,-0.57350002294,0.0,OFF,720483076.999995,-353.701342314932,4200.37788998109,5293.03013534848,-7.27546853,-1.112539695,0.39916,-1178.09326109533,4044.01223779937,5295.51775522409,-7.19802008,-2.63714875,0.415019795,YES,720483076,-346.42656267867,4201.4877699256,5292.62735536861,-7.27577526,-1.1082481,0.405932745,10.6828569292,11.6599997667999,19,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,0.762402357251952,-0.423764177024716,0.424356296512873,0.243080771138384,0.00087567,0.00510263,0.020760785,YES,YES,YES,4,0,0.0,1,20,0,AUTO,AUTO,AUTO,-0.134994569824218,0.154822679199218,-0.933254253906249,0.294691197265625,0.005374999785,0.0203024991879,-0.0037774998489,196,148,TRACK,OK,9,9,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.355879991103,0.155359996116,0.921519976962,-0.184919995377,0.96639997584,0.178559995536,0.064439998389,0.148719996282,0.98679997533,9.722399708328e-05,0.0010924339672269,0.100887089973387,0.994897247153081,2022-10-31 22:03:16.673469952
9,1667253796.88747,44865.7522787847,1667253796.88747,44865.7522787847,16803,1.35822722913205e+19,1,512,10,720483136,0.8,STORED,6,0,66,0,0,0,EN,EN,720483136.799996,YES,235202,26,85,8,19,10.40000013,6.52499986949999,7.34999985299999,6.8899998622,11.9880005994,9.1599998168,6.49950025998,2.78450011138,4.98550019942,3.32050013282,3.89150015566,3.9550001582,0.20150000806,0.65900002636,0.02450000098,0.02450000098,5.02550020102,4.13900016556,10.05850040234,9.07450036298,0.81700003268,-0.775000031,0.0,OFF,720483136.999996,-789.399280530033,4125.92653370366,5304.70835476456,-7.242517915,-1.36821184,-0.01003896,-1606.92539965372,3876.56814617158,5308.14109459293,-7.09081201,-2.94209992,0.005592935,YES,720483136,-782.156320892182,4127.29325363532,5304.71575476419,-7.24336643,-1.364007915,-0.00314823,10.3171426508,11.2342854896,19,YES,YES,NO,NO,YES,YES,SUN_POINT,NO,BOOT,180.9989879334,WAITING,NO,YES,-0.326183260476334,0.752384288452313,-0.572016772059664,0.0178643616427127,-0.000143595,0.00339828,0.0207382,YES,NO,YES,4,0,0.0,2,22,1,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,3,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.165519995862,0.496599987585,0.852039978699,0.826999979325,0.510879987228,0.234639994134,0.005879999853,0.135799996605,0.990719975232,9.961399701158e-05,0.0010922189672334,0.1030633179081,0.994674162159774,2022-10-31 22:03:16.887470080
