,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
0,722044596,722044553,2022-11-17 23:55:55 UTC,1,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,2,152,9,0,2,0,0,65,0,3,14.02558135986328,14.365941047668455,14.317288398742676,13.928423881530762,13.831306457519531,14.609349250793455,0.0231138616800308,0.0263019800186157,0.031084157526493,0.1068019792437553,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
1,722044598,722044558,2022-11-17 23:56:00 UTC,1,1,1,0,0,0,0,0,0,85,0,0,0,0,0,0,2,16,9,0,2,0,0,65,0,3,14.02558135986328,14.34161376953125,14.463274955749512,14.001288414001465,13.782761573791504,14.658061027526855,0.0382574275135993,0.0119554456323385,0.0398514866828918,0.2040396034717559,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
2,722044603,722044563,2022-11-17 23:56:05 UTC,1,1,2,0,0,0,0,0,0,85,0,0,0,0,0,0,2,148,9,0,2,0,0,65,0,2,14.147083282470703,14.414603233337402,14.63370418548584,14.074174880981444,13.879859924316406,14.56064796447754,0.0557920783758163,0.0127524752169847,0.0031881188042461,0.2040396034717559,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
3,722044608,722044568,2022-11-17 23:56:10 UTC,1,1,3,0,0,0,0,0,0,85,0,0,0,0,0,0,2,31,9,0,2,0,0,65,0,2,14.171390533447266,14.34161376953125,14.56064796447754,14.122777938842772,13.928423881530762,14.609349250793455,0.065356433391571,0.0342722758650779,0.0159405935555696,0.0549950487911701,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,722044613,722044573,2022-11-17 23:56:15 UTC,1,1,4,0,0,0,0,0,0,85,0,0,0,0,0,0,2,97,9,0,2,0,0,65,0,2,14.29296588897705,14.317288398742676,14.365941047668455,14.001288414001465,14.098475456237791,14.56064796447754,0.0358663350343704,0.010361386463046,0.0191287137567996,0.0438366346061229,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
5,722044618,722044578,2022-11-17 23:56:20 UTC,1,1,5,0,0,0,0,0,0,85,0,0,0,0,0,0,2,57,9,0,2,0,0,65,0,2,14.244328498840332,14.171390533447266,14.536300659179688,14.001288414001465,13.904141426086426,14.682419776916504,0.0326782166957855,0.0215198025107383,0.0031881188042461,0.1354950517416,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
6,722044623,722044583,2022-11-17 23:56:25 UTC,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,116,9,0,2,0,0,65,0,2,14.147083282470703,14.438937187194824,14.755512237548828,14.220013618469238,13.952710151672363,14.56064796447754,0.0446336641907691,0.0079702967777848,0.0119554456323385,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
7,722044628,722044588,2022-11-17 23:56:30 UTC,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,9,0,2,0,0,65,0,2,14.244328498840332,14.487614631652832,14.731145858764648,14.122777938842772,13.928423881530762,14.584997177124023,0.0717326700687408,0.0382574275135993,0.023910891264677,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
8,722044633,722044593,2022-11-17 23:56:35 UTC,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,28,128,9,248,28,255,255,65,0,2,14.268646240234377,14.487614631652832,14.706781387329102,14.195700645446776,13.976998329162598,14.56064796447754,0.0382574275135993,0.0398514866828918,0.0135495048016309,0.0007970297010615,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
9,722044638,722044598,2022-11-17 23:56:40 UTC,1,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,2,238,9,248,2,255,255,65,0,2,14.171390533447266,14.463274955749512,14.731145858764648,14.220013618469238,14.049877166748049,14.682419776916504,0.0597772262990474,0.040648516267538,0.0023910892195999,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
