,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
12,717004937,717004897,2022-09-20 16:01:39 UTC,1,1,12,0,0,0,0,0,0,85,0,0,0,0,0,0,2,105,9,0,2,0,0,65,0,2,13.612934112548828,13.976998329162598,14.220013618469238,13.564433097839355,13.418991088867188,13.976998329162598,0.0199257433414459,0.0470247529447078,0.001594059402123,0.0765148550271987,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
13,717004942,717004902,2022-09-20 16:01:44 UTC,1,1,13,0,0,0,0,0,0,85,0,0,0,0,0,0,2,179,9,0,2,0,0,65,0,2,13.807032585144045,14.02558135986328,14.317288398742676,13.734227180480955,13.564433097839355,14.02558135986328,0.0510099008679389,0.0342722758650779,0.010361386463046,0.0876732692122459,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
14,717004947,717004907,2022-09-20 16:01:49 UTC,1,1,14,0,0,0,0,0,0,85,0,0,0,0,0,0,2,34,9,0,2,0,0,65,0,2,13.782761573791504,14.195700645446776,14.511956214904783,13.685702323913574,13.588682174682615,13.952710151672363,0.0143465343862771,0.0183316823095083,0.0031881188042461,0.2096188068389892,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
15,717004952,717004912,2022-09-20 16:01:54 UTC,1,1,15,0,0,0,0,0,0,85,0,0,0,0,0,0,2,49,9,0,2,0,0,65,0,2,13.734227180480955,14.049877166748049,14.487614631652832,13.831306457519531,13.467462539672852,14.02558135986328,0.0302871279418468,0.008767326362431,0.0023910892195999,0.1362920850515365,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
16,717004957,717004917,2022-09-20 16:01:59 UTC,1,1,16,0,0,0,0,0,0,85,0,0,0,0,0,0,2,42,9,0,2,0,0,65,0,2,13.807032585144045,14.074174880981444,14.487614631652832,13.734227180480955,13.588682174682615,13.976998329162598,0.0398514866828918,0.0151435639709234,0.0023910892195999,0.1028168350458145,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
17,717004962,717004922,2022-09-20 16:02:04 UTC,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,0,2,0,0,65,0,2,13.807032585144045,14.098475456237791,14.658061027526855,13.734227180480955,13.612934112548828,14.049877166748049,0.0382574275135993,0.0286930687725543,0.0023910892195999,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
18,717004966,717004927,2022-09-20 16:02:09 UTC,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,182,9,0,2,0,0,65,0,2,13.782761573791504,14.147083282470703,14.536300659179688,13.831306457519531,13.685702323913574,14.049877166748049,0.0326782166957855,0.0390544570982456,0.0023910892195999,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
19,717004971,717004932,2022-09-20 16:02:14 UTC,1,1,19,15,0,0,0,0,0,0,0,0,0,0,0,0,2,250,9,248,2,255,255,65,0,2,13.807032585144045,14.147083282470703,14.584997177124023,13.879859924316406,13.70996379852295,13.952710151672363,0.0470247529447078,0.0223168320953845,0.001594059402123,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
20,717004977,717004937,2022-09-20 16:02:19 UTC,1,1,20,7,0,0,0,0,0,0,85,0,0,0,0,0,2,229,9,248,2,255,255,97,0,2,13.831306457519531,14.171390533447266,14.706781387329102,13.685702323913574,13.70996379852295,14.074174880981444,0.0462277233600616,0.0095643568783998,0.2112128734588623,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
21,717004982,717004942,2022-09-20 16:02:24 UTC,1,1,21,7,0,0,0,0,0,0,85,0,0,0,0,0,2,33,9,248,2,255,255,97,0,2,13.904141426086426,14.147083282470703,14.731145858764648,13.855582237243652,13.782761573791504,14.098475456237791,0.0605742558836936,0.0518069304525852,0.2151980251073837,0.001594059402123,0,2,0,11.600000381469728,-100.0,-100.0,0,8,0,13.0,0,0,0,0,0,0,0,0
