,time,bcnX,bcnY,bcnExp,calX,calY,calSetX,calSetY,calExp
72,3.47308,519.998,790.998,131527,2047.0,1273.0,519.998,790.998,10
73,4.11997,450.502,800.498,131527,2116.0,1263.0,450.502,800.498,10
74,4.89543,372.5,786.5,131527,2194.0,1277.0,372.5,786.5,10
75,5.54363,462.335,777.999,131527,2105.0,1286.0,462.335,777.999,10
76,6.15288,516.502,791.502,131527,2050.0,1272.0,516.502,791.502,10
77,7.23943,553.667,764.0,131527,2013.0,1300.0,553.667,764.0,10
78,7.88514,559.5,778.502,131527,2007.0,1285.0,559.5,778.502,10
79,8.52984,578.498,799.498,131527,1988.0,1264.0,578.498,799.498,10
80,9.04402,619.5,783.5,131527,1947.0,1280.0,619.5,783.5,10
81,9.55662,581.503,783.497,131527,1985.0,1280.0,581.503,783.497,10
82,10.0685,521.51,781.49,131527,2045.0,1282.0,521.51,781.49,10
83,10.5765,466.665,781.0,131527,2100.0,1283.0,466.665,781.0,10
84,11.0925,411.502,781.498,131527,2155.0,1283.0,411.502,781.498,10
85,12.2494,396.499,745.499,131527,2170.0,1319.0,396.499,745.499,10
86,13.157,414.505,748.495,131527,2152.0,1316.0,414.505,748.495,10
87,14.0641,447.004,769.996,131527,2120.0,1294.0,447.004,769.996,10
88,14.5791,388.5,756.5,131527,2178.0,1308.0,388.5,756.5,10
89,15.1458,412.995,744.668,131527,2154.0,1319.0,412.995,744.668,10
90,16.0584,415.0,765.336,131527,2152.0,1299.0,415.0,765.336,10
91,17.5391,418.499,753.499,131527,2148.0,1311.0,418.499,753.499,10
92,18.1845,452.499,771.499,131527,2114.0,1293.0,452.499,771.499,10
93,18.7008,513.499,767.501,131527,2053.0,1297.0,513.499,767.501,10
94,19.2133,542.6,767.807,131527,2024.0,1296.0,542.6,767.807,10
95,19.8596,598.501,751.501,118375,1968.0,1313.0,598.501,751.501,10
96,20.4894,660.505,759.505,106538,1906.0,1305.0,660.505,759.505,10
97,21.3355,734.498,816.502,86297,1832.0,1248.0,734.498,816.502,10
98,23.4167,734.499,819.499,77668,1832.0,1245.0,734.499,819.499,10
99,24.1379,693.502,786.502,69902,1873.0,1278.0,693.502,786.502,10
100,25.3042,723.0,800.501,69902,1843.0,1264.0,723.0,800.501,10
101,25.8199,730.0,806.504,69902,1836.0,1258.0,730.0,806.504,10
102,27.2241,719.004,796.004,62912,1847.0,1268.0,719.004,796.004,10
103,27.9372,693.0,776.499,56621,1873.0,1288.0,693.0,776.499,10
104,29.0601,671.507,756.507,56621,1895.0,1308.0,671.507,756.507,10
105,29.6096,705.501,782.501,56621,1861.0,1282.0,705.501,782.501,10
106,30.1985,744.497,809.497,50959,1822.0,1255.0,744.497,809.497,10
107,2.46611,742.022,798.587,18100,1823.0,1266.0,742.022,798.587,10
