1,TARGET,PACKET,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,SYNC,MSG_ID,LEN,SEQ,CCSDS_TAI_SECS,CCSDS_TAI_SUBSECS,CCSDS_REALTIME,GPS_TIME,GPS_POSITION_ECEF1,GPS_POSITION_ECEF2,GPS_POSITION_ECEF3,GPS_VELOCITY_ECEF1,GPS_VELOCITY_ECEF2,GPS_VELOCITY_ECEF3,MSG_RX_STATUS,AUX1_EVENT,AUX2_EVENT,AUX3_EVENT,DIG_FILT_EN,TRACKING_MODE,VERSION_BIT1,VERSION_BIT0,SOFTWARE_RESOURCE,EXT_OSC_LOCKED,CLOCK_MODEL,CLOCK_STEERING,POS_FIX,POS_SOL,ALMANAC_KNOWN,IMU_COMM,INS_RESET,JAMMER_DETECTED,ANT_GAIN_STATE,TRANSMIT_OVERRUN,INPUT_OVERRUN,LINK_OVERRUN,COM_BUF_OVERRUN,CPU_OVERLOAD,ANT_SHORT_CIRCUIT,ANT_OPEN_CIRCUIT,LNA_FAILURE,ANT_POWER_STATUS,VOLT_STATUS,TEMP_STATUS,ERROR_FLAG,MSG_SAT_PRN1,MSG_SAT_PRN2,MSG_SAT_PRN3,MSG_SAT_PRN4,MSG_SAT_PRN5,MSG_SAT_PSR1,MSG_SAT_PSR2,MSG_SAT_PSR3,MSG_SAT_PSR4,MSG_SAT_PSR5,MSG_SAT_DOPP1,MSG_SAT_DOPP2,MSG_SAT_DOPP3,MSG_SAT_DOPP4,MSG_SAT_DOPP5,MSG_SAT_CNO1,MSG_SAT_CNO2,MSG_SAT_CNO3,MSG_SAT_CNO4,MSG_SAT_CNO5,MSG_SAT_TRACK_STAT1,MSG_SAT_TRACK_STAT2,MSG_SAT_TRACK_STAT3,MSG_SAT_TRACK_STAT4,MSG_SAT_TRACK_STAT5,GPS_SOLUTION_TIME_TAG,GPS_CYCLES_SINCE_CRC_DATA,GPS_CYCLES_SINCE_LATEST_DATA,GPS_LOCK_COUNT,MSG_GPS_TEMP1,MSG_GPS_TEMP2,MSG_ANT_CURRENT,MSG_ANT_VOLTAGE,MSG_GPS_VOLTAGE_SUPPLY,MSG_GPS_VOLTAGE3P3,MSG_GPS_VOLTAGE1P8,MSG_GPS_VOLTAGE1P2,MSG_TRACKED_SATELLITES,MSG_USED_SATELLITES,GPS_HEALTH1_PACK,GPS_POS_LOCK,GPS_TIME_LOCK,MSG_DATA_VALID,GPS_NEW_DATA_RECEIVED,GPS_ENABLE,GPS_VALID,HEALTH1_PACK_SPARE1
10,UUT,GPS,1662573796,03:15.6,1662573796,03:15.6,3284,1.35823E+19,18,158,12,431892829,0,REALTIME,715889028,-126.0914737,-4623.989189,-4979.294371,6.703877335,2.117116715,-2.13585599,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23792356,21312848,23159189,26446768,21208343,32680,-24154,7197,-32343,-12312,35.5,37.1,33.9,41.8,37.5,671136772,671136804,939572292,671136868,671136932,1819267155,5,5,8,16.42285681,17.33714251,0.012451362,5.110500204,3.23950013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
11,UUT,GPS,1662573796,03:16.4,1662573796,03:16.4,3285,1.35823E+19,18,158,13,431892830,0,REALTIME,715889029,-119.387354,-4621.869569,-4981.426991,6.70433212,2.122016775,-2.1294938,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23786139,21317448,23157821,26452923,21210689,32661,-24199,7172,-32340,-12348,35.8,36.7,33.6,41.9,37.8,671136772,671136804,939572292,671136868,671136932,1820267154,5,5,8,16.42285681,17.33714251,0.012695506,5.110500204,3.24800013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
12,UUT,GPS,1662573797,03:17.4,1662573797,03:17.4,3286,1.35823E+19,18,158,14,431892831,0,REALTIME,715889030,-112.6828144,-4619.745109,-4983.553291,6.704797185,2.12686442,-2.123072455,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23779925,21322057,23156459,26459077,21213042,32642,-24242,7149,-32338,-12384,35.4,36.6,34,41.8,37.4,671136772,671136804,939572292,671136868,671136932,1821267154,5,5,8,16.42285681,17.33714251,0.012695506,5.116500205,3.24400013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
13,UUT,GPS,1662573798,03:18.4,1662573798,03:18.4,3287,1.35823E+19,18,158,15,431892832,0,REALTIME,715889031,-105.9777947,-4617.615789,-4985.673211,6.70525838,2.131716555,-2.116786015,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23773716,21326675,23155101,26465230,21215402,32624,-24286,7124,-32336,-12420,35.5,37,34,41.9,37.6,671136772,671136804,939572292,671136868,671136932,1822267153,5,5,8,16.42285681,17.33714251,0.012695506,5.116500205,3.24800013,3.233333495,1.84,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
14,UUT,GPS,1662573799,03:19.4,1662573799,03:19.4,3288,1.35823E+19,18,158,16,431892833,0,REALTIME,715889032,-99.27233504,-4615.481589,-4987.786751,6.705668955,2.13655579,-2.110477535,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23767509,21331300,23153748,26471384,21217769,32604,-24330,7099,-32334,-12456,35.4,36.7,34.3,41.7,37.5,671136772,671136804,939572292,671136868,671136932,1823267153,5,5,8,16.42285681,17.33714251,0.012451362,5.116500205,3.24900013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
15,UUT,GPS,1662573800,03:20.4,1662573800,03:20.4,3289,1.35823E+19,18,158,17,431892834,0,REALTIME,715889033,-92.56643537,-4613.342549,-4989.893931,6.706117045,2.14140444,-2.10411739,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23761307,21335935,23152399,26477536,21220143,32585,-24374,7074,-32331,-12492,35.2,36.9,34.1,41.8,37.2,671136772,671136804,939572292,671136868,671136932,1824267153,5,5,8,16.42285681,17.33714251,0.012695506,5.112500205,3.25050013,3.233333495,1.84,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
16,UUT,GPS,1662573801,03:21.4,1662573801,03:21.4,3290,1.35823E+19,18,158,18,431892835,0,REALTIME,715889034,-85.86015571,-4611.198609,-4991.99461,6.70656042,2.14624712,-2.097856715,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23755108,21340577,23151055,26483689,21222524,32566,-24418,7049,-32329,-12528,35,36.4,34.9,41.8,37.5,671136772,671136804,939572292,671136868,671136932,1825267152,5,5,8,16.42285681,17.33714251,0.012817578,5.112500205,3.25050013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
17,UUT,GPS,1662573802,03:22.3,1662573802,03:22.3,3291,1.35823E+19,18,158,19,431892836,0,REALTIME,715889035,-79.15339604,-4609.04991,-4994.08915,6.706963815,2.151043355,-2.091531555,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23748913,21345228,23149716,26489840,21224911,32547,-24461,7024,-32327,-12564,35,36.8,34.9,41.8,37.4,671136772,671136804,939572292,671136868,671136932,1826267152,5,5,8,16.42285681,17.33714251,0.012573434,5.110500204,3.25250013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
18,UUT,GPS,1662573803,03:23.3,1662573803,03:23.3,3292,1.35823E+19,18,158,20,431892837,0,REALTIME,715889036,-72.44625638,-4606.89583,-4996.17723,6.707378205,2.15593935,-2.08512316,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,4,23742721,21349887,23148382,26495992,27958991,32528,-24505,7000,-32324,13219,35.3,36.6,34.1,42,43.6,671136772,671136804,939572292,671136868,671136900,1827267151,5,5,8,16.42285681,17.33714251,0.012695506,5.110500204,3.24300013,3.233333495,1.84,1.2,17,17,198,YES,YES,NO,NO,YES,YES,0
19,UUT,GPS,1662573805,03:24.6,1662573805,03:24.6,3293,1.35823E+19,18,158,21,431892838,0,REALTIME,715889037,-65.73865671,-4604.73799,-4998.25949,6.70775604,2.160737075,-2.078767845,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,4,23736533,21354554,23147052,26502143,27956476,32509,-24548,6975,-32321,13218,35.2,36.7,35,41.9,43.6,671136772,671136804,939572292,671136868,671136900,1828267151,5,5,8,16.42285681,17.33714251,0.012817578,5.114500205,3.24400013,3.233333495,1.8,1.2,17,17,198,YES,YES,NO,NO,YES,YES,0
