,TARGET, PACKET, PACKET_TIMESECONDS, PACKET_TIMEFORMATTED, RECEIVED_TIMESECONDS, RECEIVED_TIMEFORMATTED, RECEIVED_COUNT, SYNC, MSG_ID, LEN, SEQ, CCSDS_TAI_SECS, CCSDS_TAI_SUBSECS, CCSDS_REALTIME, POSITION_ERROR1, POSITION_ERROR2, POSITION_ERROR3, RATE_ERROR1, RATE_ERROR1_DPS, RATE_ERROR1_RPM, RATE_ERROR2, RATE_ERROR2_DPS, RATE_ERROR2_RPM, RATE_ERROR3, RATE_ERROR3_DPS, RATE_ERROR3_RPM, INTEGRAL_ERROR1, INTEGRAL_ERROR2, INTEGRAL_ERROR3, EIGEN_ERROR, POSITION_ERROR_PAYLOAD1, POSITION_ERROR_PAYLOAD2, POSITION_ERROR_PAYLOAD3, RATE_ERROR_PAYLOAD1, RATE_ERROR_PAYLOAD1_DPS, RATE_ERROR_PAYLOAD1_RPM, RATE_ERROR_PAYLOAD2, RATE_ERROR_PAYLOAD2_DPS, RATE_ERROR_PAYLOAD2_RPM, RATE_ERROR_PAYLOAD3, RATE_ERROR_PAYLOAD3_DPS, RATE_ERROR_PAYLOAD3_RPM, EIGEN_ERROR_PAYLOAD, PAYLOAD_ERROR1, PAYLOAD_ERROR2, PAYLOAD_ERROR3, MAX_RATE1, MAX_RATE1_DPS, MAX_RATE1_RPM, MAX_RATE2, MAX_RATE2_DPS, MAX_RATE2_RPM, MAX_RATE3, MAX_RATE3_DPS, MAX_RATE3_RPM, MAX_ACCEL1, MAX_ACCEL2, MAX_ACCEL3, CONTROL_TORQUE1, CONTROL_TORQUE2, CONTROL_TORQUE3, TIME_INTO_SEARCH, WAIT_TIMER, SUN_POINT_ANGLE_ERROR, SUN_POINT_STATE, CYCLES_SINCE_VALID_PAYLOAD_DATA, GAIN_INDEX_USED, CONTROL_TO_PAYLOAD, PAYLOAD_CONTROL_USED, ATT_CTRL_HEALTH1_PACK, HEALTH1_PACK_SPARE1, SUN_SOURCE_FAILOVER, SUN_AVOID_FLAG, ON_SUN_FLAG, MOMENTUM_TOO_HIGH, ATT_CTRL_ACTIVE, 
10,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.533,1676554910.0, 2023/02/16 08:41:49.533,11.0,1.35823e+19,9.0,139.0,11.0,729780760.0,0.4, STORED,-1.78e-05,-4.18e-06,1.24e-05,-0.00011417,-0.006541459,-0.001090243,-5.39e-05,-0.003088529,-0.000514755,-4.56e-05,-0.002610682,-0.000435114,5e-05,-2e-05,0.00015,2.21e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,1.6e-07,-7.7e-07,1.53e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
11,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.538,1676554910.0, 2023/02/16 08:41:49.538,12.0,1.35823e+19,9.0,139.0,12.0,729780820.0,0.4, STORED,4.15e-05,-7.69e-06,-1.89e-05,4.46e-05,0.002556538,0.00042609,7.87e-05,0.004510037,0.000751673,9.35e-05,0.005354291,0.000892382,7e-05,-3e-05,0.00013,4.63e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,4.66e-06,2.44e-06,1.24e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
12,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.544,1676554910.0, 2023/02/16 08:41:49.544,13.0,1.35823e+19,9.0,139.0,13.0,729780880.0,0.4, STORED,2.93e-05,2.13e-05,-2.52e-05,0.00010684,0.006121481,0.001020247,-6.62e-06,-0.000379012,-6.32e-05,-3.97e-06,-0.000227464,-3.79e-05,7e-05,-2e-05,0.00011,4.41e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,4.2e-06,4.7e-07,9.1e-07,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
13,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.636,1676554910.0, 2023/02/16 08:41:49.636,14.0,1.35823e+19,9.0,139.0,14.0,729780940.0,0.4, STORED,-5.06e-05,2.48e-05,2.88e-07,4.51e-05,0.002582034,0.000430339,-2.59e-05,-0.001484534,-0.000247422,-4.18e-05,-0.002392385,-0.000398731,7e-05,-2e-05,9e-05,5.64e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,-4.5e-07,6.7e-07,1.08e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
14,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.638,1676554910.0, 2023/02/16 08:41:49.638,15.0,1.35823e+19,9.0,139.0,15.0,729781000.0,0.4, STORED,4.08e-05,6.9e-06,1.25e-06,0.000107245,0.006144686,0.001024114,-5.3e-05,-0.003037249,-0.000506208,-4.92e-05,-0.002821244,-0.000470207,7e-05,-2e-05,6e-05,4.14e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,6.33e-06,-2.06e-06,1.74e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
15,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.643,1676554910.0, 2023/02/16 08:41:49.643,16.0,1.35823e+19,9.0,139.0,16.0,729781060.0,0.4, STORED,-2.85e-05,-4.41e-06,-6.16e-06,3.81e-05,0.002180104,0.000363351,1.24e-05,0.000708462,0.000118077,-0.0001077,-0.006170755,-0.001028459,8e-05,-2e-05,3e-05,2.94e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,1.69e-06,-2.8e-07,6.1e-07,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
16,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.644,1676554910.0, 2023/02/16 08:41:49.644,17.0,1.35823e+19,9.0,139.0,17.0,729781120.0,0.4, STORED,-1.31e-05,-1.74e-05,-1.57e-06,-2.27e-05,-0.001299755,-0.000216626,-2.1e-05,-0.001200347,-0.000200058,0.000117145,0.006711914,0.001118652,7e-05,-1e-05,0.0,2.18e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,-1.89e-06,-3.72e-06,2.06e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
17,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.652,1676554910.0, 2023/02/16 08:41:49.652,18.0,1.35823e+19,9.0,139.0,18.0,729781180.0,0.4, STORED,3.23e-05,-6.02e-07,5.64e-06,0.000108655,0.006225473,0.001037579,1.28e-05,0.000735391,0.000122565,-1.64e-05,-0.000938218,-0.00015637,8e-05,0.0,-3e-05,3.28e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,5.14e-06,-5.3e-07,1.38e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
18,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.743,1676554910.0, 2023/02/16 08:41:49.743,19.0,1.35823e+19,9.0,139.0,19.0,729781240.0,0.4, STORED,3.15e-05,-1.33e-06,-2.68e-05,5.94e-05,0.003402796,0.000567133,4.36e-05,0.002498955,0.000416493,3.85e-05,0.002203023,0.00036717,8e-05,0.0,-6e-05,4.14e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,3.13e-06,-1.99e-06,7.8e-07,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
19,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.748,1676554910.0, 2023/02/16 08:41:49.748,20.0,1.35823e+19,9.0,139.0,20.0,729781300.0,0.4, STORED,1.57e-05,2.87e-06,1.79e-06,3.86e-05,0.002209612,0.000368269,4.56e-06,0.000260982,4.35e-05,4.32e-05,0.00247747,0.000412912,7e-05,1e-05,-7e-05,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,3.64e-06,-1.43e-06,2.11e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
20,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.751,1676554910.0, 2023/02/16 08:41:49.751,21.0,1.35823e+19,9.0,139.0,21.0,729781360.0,0.4, STORED,2.78e-05,-1.26e-05,-3.89e-06,2.41e-05,0.001377963,0.000229661,3.87e-05,0.002219066,0.000369844,3.96e-05,0.00226834,0.000378057,7e-05,1e-05,-8e-05,3.08e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,2.73e-06,9.9e-07,8e-07,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
21,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.752,1676554910.0, 2023/02/16 08:41:49.752,22.0,1.35823e+19,9.0,139.0,22.0,729781420.0,0.4, STORED,1.51e-05,1.27e-06,1.22e-05,-0.000221065,-0.012666091,-0.002111015,-2.52e-05,-0.001441562,-0.00024026,9.45e-05,0.005412159,0.000902027,8e-05,2e-05,-0.0001,1.95e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,-4.86e-06,1.9e-07,2.49e-06,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
22,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.858,1676554910.0, 2023/02/16 08:41:49.858,23.0,1.35823e+19,9.0,139.0,23.0,729781480.0,0.4, STORED,1.6e-05,1.52e-05,-1.37e-05,-0.000171745,-0.009840264,-0.001640044,4.2e-06,0.000240356,4.01e-05,-5.25e-06,-0.000300803,-5.01e-05,7e-05,3e-05,-0.0001,2.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,7.4e-07,1.41e-06,4.2e-07,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
23,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.862,1676554910.0, 2023/02/16 08:41:49.862,24.0,1.35823e+19,9.0,139.0,24.0,729781540.0,0.4, STORED,-6.14e-06,-9.48e-07,-1.42e-05,0.000104915,0.006011187,0.001001864,1.1e-05,0.000628821,0.000104804,-8.63e-05,-0.004945485,-0.000824248,6e-05,3e-05,-0.00011,1.55e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,1.02e-06,1.68e-06,1.5e-07,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
24,UUT, ATT_CTRL,1676554910.0, 2023/02/16 08:41:49.863,1676554910.0, 2023/02/16 08:41:49.863,25.0,1.35823e+19,9.0,139.0,25.0,729781600.0,0.4, STORED,1.77e-05,-2.24e-05,-9.74e-06,-4.84e-06,-0.000277025,-4.62e-05,2.12e-06,0.000121467,2.02e-05,-4.06e-05,-0.002325922,-0.000387654,6e-05,3e-05,-0.00013,3.02e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.104799995,6.004597393,1.000766232,0.017399999,0.017399999,0.017399999,1.53e-06,1.88e-06,-4e-08,0.0,763.0,180.9989879, NOT_ACTIVE,1560.0,2.0,0,0,1.0,0.0, OK, NO, NO, NO, YES,
