,time,bcnX,bcnY,bcnExp,calX,calY,calSetX,calSetY,calExp
0,0.159315,1297.7,890.547,11279,1269.8,1173.42,1269.72,1173.71,10
1,0.719527,1297.74,890.418,12406,1269.64,1173.92,1269.68,1173.83,10
2,1.29879,1297.75,889.924,12282,1269.25,1174.11,1269.67,1174.33,10
3,1.87217,1297.86,889.646,12282,1269.96,1174.54,1269.56,1174.61,10
4,2.808,1297.85,889.579,12282,1268.97,1174.57,1269.56,1174.67,10
5,3.38687,1297.55,889.296,13510,1269.84,1174.91,1269.86,1174.96,10
6,3.98588,1297.42,889.412,12159,1270.22,1174.82,1269.99,1174.84,10
7,4.54529,1297.46,889.684,10944,1269.72,1174.81,1269.96,1174.57,10
8,5.10641,1297.6,889.64,9850,1269.84,1174.55,1269.81,1174.61,10
9,5.65523,1297.7,889.423,9850,1269.85,1174.88,1269.71,1174.83,10
10,6.24692,1297.76,889.264,11918,1269.61,1174.55,1269.65,1174.99,10
11,6.80442,1297.69,889.087,10727,1269.7,1175.28,1269.73,1175.17,10
12,7.88294,1297.54,889.013,10727,1269.8,1175.21,1269.88,1175.24,10
13,8.44009,1297.29,888.446,11799,1270.3,1175.47,1270.13,1175.81,10
14,9.04364,1297.46,888.3,12978,1269.78,1175.63,1269.95,1175.95,10
15,9.60846,1297.46,888.36,11681,1269.97,1175.86,1269.96,1175.89,10
16,10.211,1297.46,888.662,10513,1269.74,1175.82,1269.96,1175.59,10
17,10.7603,1297.43,888.964,8516,1270.86,1175.62,1270.31,1175.35,10
18,11.3441,1297.55,889.671,10303,1270.32,1174.81,1270.19,1174.64,10
19,11.8923,1297.75,890.084,8346,1269.96,1174.63,1269.99,1174.23,10
20,12.8456,1297.78,890.425,9180,1269.67,1174.33,1269.96,1173.89,10
21,13.4168,1297.96,891.128,9180,1270.49,1173.47,1269.78,1173.18,10
22,13.9861,1297.99,890.948,9180,1269.78,1173.13,1269.75,1173.36,10
23,14.5321,1298.04,890.648,9180,1269.12,1173.32,1269.7,1173.66,10
24,15.1193,1298.01,890.541,10098,1269.54,1173.88,1269.73,1173.77,10
25,15.6746,1297.9,890.323,11107,1269.85,1174.11,1269.84,1173.99,10
26,16.2805,1297.81,890.259,11107,1269.83,1174.16,1269.93,1174.05,10
27,16.8321,1297.92,890.083,9997,1270.61,1174.34,1269.82,1174.23,10
