,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,UUT_RW_DRIVE_FILTERED_SPEED_RPM1,UUT_RW_DRIVE_FILTERED_SPEED_RPM2,UUT_RW_DRIVE_FILTERED_SPEED_RPM3,UUT_IMU_IMU_AVG_VECTOR_BODY1_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY2_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY3_DPS,timestamp_
0,1677946765.84193,44989.4718268634,1677946765.84193,44989.4718268634,28903,1.35822722913205e+19,1,512,1,731040700,0.8,STORED,121,0,219,0,0,0,EN,EN,731040700.799995,YES,34649103,25,85,13,19,14.40000018,11.4349997713,11.7049997658999,11.3349997733,12.1640006082,9.9749998005,11.51800046072,10.66800042672,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6350000254,0.02450000098,0.02450000098,5.02400020096,16.26350065054,15.48950061958,14.22150056886,1.00450004018,-0.43950001758,0.200000008,OFF,731040700.999995,-3573.55618132218,-2861.219796939,-4864.04489679774,2.307326265,-6.683943015,2.246439715,2222.47856887606,3995.97558020121,-4869.14605654268,-4.940431375,5.48632969,2.257305525,YES,731040700,-3575.86140120692,-2854.53445727326,-4866.28819668557,2.303574365,-6.68736638,2.240007165,15.1399996971999,16.1171425348,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.477762690444746,0.64638197357236,-0.592157752656844,0.0572914573541708,-0.000335105,-0.00112618,0.001773185,YES,NO,YES,948,0,0.00200000008,2,30,6,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.94719997632,-0.320599991985,-0.000639999984,-0.365879990853,-0.365799990855,0.855759978606,-0.24039999399,-0.410759989731,-0.879479978013,-0.0010988799670336,0.0001987269940381,-0.981430979557069,0.191812211245633,793.0180396509,787.2160393608,204.1520102076,-0.0469825377912513,0.0458366222353671,-0.0905273289148501,2023-03-04 16:19:25.841929984
1,1677946765.94097,44989.4718280093,1677946765.94097,44989.4718280093,28904,1.35822722913205e+19,1,512,2,731040760,0.8,STORED,121,0,219,0,0,0,EN,EN,731040760.799995,YES,34649403,25,85,13,19,14.40000018,11.3549997729,11.5799997683999,11.2299997754,12.1440006072,10.0349997993,11.35300045412,10.56350042254,4.98550019942,3.32300013292,3.89650015586,3.9600001584,0.19550000782,0.5800000232,0.02450000098,0.02450000098,5.02400020096,10.38700041548,15.39100061564,14.1225005649,0.56350002254,-0.53700002148,0.17800000712,OFF,731040760.999995,-3428.41444857926,-3255.72063721396,-4717.65320411732,2.52911452,-6.46108092,2.631361055,1920.9518039524,4315.29814423508,-4722.09068389545,-5.106393535,5.153420915,2.64260893,YES,731040760,-3430.94184845289,-3249.25853753706,-4720.28148398591,2.525489675,-6.46503898,2.62498724,15.1399996971999,15.9942853943999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.461421014771579,0.676879293462413,-0.564006880219862,0.104025323419493,-0.000519035,-0.00110965,0.00198993,YES,NO,YES,948,0,0.0025000001,2,35,5,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.906719977332,-0.421719989457,-0.00079999998,-0.349159991271,-0.349279991268,0.869559978261,-0.338959991526,-0.356679991083,-0.870559978236,-0.0010984429670467,0.000201130993966,-0.981009016569728,0.193958763181236,918.100045905,689.5580344779,203.7640101882,-0.0572957777942089,0.0469825377912513,-0.0784952155780662,2023-03-04 16:19:25.940969984
2,1677946765.94297,44989.4718280324,1677946765.94297,44989.4718280324,28905,1.35822722913205e+19,1,512,3,731040820,0.8,STORED,121,0,219,0,0,0,EN,EN,731040820.799995,YES,34649703,25,85,13,19,14.40000018,11.249999775,11.4349997713,11.1049997779,12.1640006082,10.0799997984,11.22950044918,10.56350042254,4.98800019952,3.32300013292,3.89650015586,3.9600001584,0.19550000782,0.64100002564,0.02450000098,0.02450000098,5.02400020096,8.62950034518,15.2325006093,14.0425005617,0.64800002592,-0.5675000227,0.19800000792,OFF,731040820.999995,-3270.26047648696,-3635.97295820134,-4548.53351257331,2.741001005,-6.2091187,3.00374971,1610.19829949008,4613.89354930531,-4552.28599238568,-5.24790651,4.795632895,3.01532581,YES,731040820,-3273.00067634995,-3629.76289851184,-4551.53749242311,2.73750281,-6.213576735,2.99762897,15.0171425568,15.9342853956,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.438660279226794,0.709039269819214,-0.531202288375954,0.150547541989049,-0.00066863,-0.000947495,0.00205914,YES,NO,YES,948,0,0.0025000001,8,40,2,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,CAL,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.849759978756,-0.527159986821,-0.000719999982,-0.336999991575,-0.336999991575,0.879119978022,-0.430359989241,-0.282159992946,-0.857439978564,-0.00109799996706,0.000203532993894,-0.980582358582528,0.196104386116868,1037.2080518604,554.9560277478,203.920010196,-0.0658901444633402,0.0561498622383247,-0.0744845111324716,2023-03-04 16:19:25.942970112
3,1677946766.15694,44989.4718305093,1677946766.15694,44989.4718305093,28906,1.35822722913205e+19,1,512,4,731040880,0.8,STORED,121,0,219,0,0,0,EN,EN,731040880.799996,YES,34650003,25,85,13,19,13.60000017,11.1049997779,11.2299997754,10.9599997807999,12.1240006062,10.1199997975999,11.04300044172,10.54300042172,4.98550019942,3.32300013292,3.89650015586,3.9600001584,0.20150000806,0.70200002808,0.02450000098,0.02450000098,5.02400020096,13.10050052402,15.11400060456,13.90300055612,0.59150002366,-0.45150001806,0.07100000284,OFF,731040880.999996,-3099.71614501418,-4000.26429998677,-4357.49508212523,2.94201503,-5.92922287,3.361878375,1291.70995541449,4890.32255548386,-4360.54454197276,-5.36411889,4.41481118,3.373726875,YES,731040880,-3102.64848486756,-3994.32642028366,-4360.85392195729,2.9388308,-5.93398171,3.35600835,14.957142558,15.9342853956,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.410142626297147,0.741712162165756,-0.493457324130853,0.195309815093803,-0.00084016,-0.00093241,0.002305525,YES,NO,YES,948,0,0.0025000001,14,44,1,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.775399980615,-0.631479984213,-0.000759999981,-0.329919991752,-0.329919991752,0.884479977888,-0.508919987277,-0.187679995308,-0.840119978997,-0.0010975519670734,0.0002059349938219,-0.980151007595468,0.198249072052527,1137.5240568762,398.1440199072,204.3780102189,-0.0762033844662978,0.0567228200162668,-0.0601605666839193,2023-03-04 16:19:26.156940032
4,1677946766.26094,44989.471831713,1677946766.26094,44989.471831713,28907,1.35822722913205e+19,1,512,5,731040940,0.8,STORED,121,0,219,0,0,0,EN,EN,731040940.799995,YES,34650303,25,85,13,19,13.60000017,10.9599997807999,11.0199997795999,10.7749997844999,12.1640006082,10.1199997975999,10.87650043506,10.56350042254,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6225000249,0.02450000098,0.02450000098,5.02400020096,9.70350038814,14.97550059902,13.78350055134,0.59150002366,-0.59800002392,0.15850000634,OFF,731040940.999995,-2917.42559412871,-4346.93326265332,-4145.44017272798,3.13188046,-5.622260585,3.70390358,967.003191649838,5143.22542283871,-4147.77193261139,-5.454734375,4.01226548,3.715967975,YES,731040940,-2920.5557139722,-4341.30844293456,-4149.14137254292,3.12885704,-5.627598935,3.69830464,14.8971425591999,15.7514282563999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.377264386454712,0.773419108531617,-0.451222714975545,0.236415920271681,-0.000920955,-0.000735355,0.00230197,YES,NO,YES,948,0,0.0025000001,23,47,2,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.685519982862,-0.728039981799,-0.000839999979,-0.328359991791,-0.328439991789,0.88559997786,-0.569079985773,-0.077079998073,-0.818679979533,-0.001097098967087,0.0002083349937499,-0.97971496660855,0.200392807988215,1219.6140609807,219.3680109684,202.3720101186,-0.0807870466898346,0.0681819755751086,-0.0601605666839193,2023-03-04 16:19:26.260940032
5,1677946766.48467,44989.4718343056,1677946766.48467,44989.4718343056,28908,1.35822722913205e+19,1,512,6,731041000,0.8,STORED,121,0,219,0,0,0,EN,EN,731041000.799996,YES,34650603,25,85,13,19,13.60000017,10.7749997844999,10.7299997853999,10.5849997883,12.1240006062,10.1449997970999,10.6475004259,10.58450042338,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.22600000904,0.6350000254,0.02450000098,0.02450000098,5.02400020096,11.49950045998,14.85650059426,13.64350054574,0.47900001916,-0.45150001806,0.13200000528,OFF,731041000.999996,-2724.11270379435,-4674.4236262788,-3913.38586433069,3.309648425,-5.28987969,4.028230385,637.648508117573,5371.39489143024,-3914.98874425055,-5.519177765,3.590293855,4.04045279,YES,731041000,-2727.42054362896,-4669.13106654343,-3917.41146412941,3.30676209,-5.29560705,4.022996065,14.71428542,15.628571116,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.341978158660436,0.802798110444037,-0.405535691889286,0.272225816555483,-0.00083247,-0.00070113,0.00218221,YES,NO,YES,948,0,0.0025000001,32,47,5,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.584679985383,-0.811279979718,-0.00079999998,-0.332559991686,-0.332559991686,0.882519977937,-0.607399984815,0.043239998919,-0.793239980169,-0.0010966409671007,0.0002107349936779,-0.979274236621771,0.202535583923932,1261.7740630887,38.1040019052,202.7060101353,-0.0756304266883557,0.0699008489089349,-0.0676090177971665,2023-03-04 16:19:26.484669952
6,1677946766.69338,44989.4718367245,1677946766.69338,44989.4718367245,28909,1.35822722913205e+19,1,512,7,731041060,0.8,STORED,121,0,219,0,0,0,EN,EN,731041060.799996,YES,34650903,25,85,13,19,13.60000017,10.6049997878999,10.5649997887,10.4599997908,12.1240006062,10.1449997970999,10.60550042422,10.52200042088,4.98550019942,3.32300013292,3.89650015586,3.9600001584,0.19550000782,0.6350000254,0.02450000098,0.02450000098,5.02400020096,15.15050060602,14.69800058792,13.50350054014,0.8825000353,-0.3725000149,0.24650000986,OFF,731041060.999996,-2520.51565397421,-4981.23629093817,-3662.43817687808,3.47458967,-4.933459335,4.333312355,305.226884738655,5573.70654131465,-3663.30441683476,-5.557008945,3.1508671,4.345633835,YES,731041060,-2523.9877138006,-4976.29927118502,-3666.76907666153,3.47199864,-4.939565905,4.32836652,14.5914282795999,15.5057139755999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.306546853869062,0.828968372920632,-0.357620715347585,0.301575606968487,-0.001128985,-0.00057826,0.00200794,YES,NO,YES,948,0,0.0025000001,42,48,9,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.479119988022,-0.877759978056,-0.00079999998,-0.342239991444,-0.342199991445,0.875079978123,-0.623559984411,0.166199995845,-0.763919980902,-0.0010961779671146,0.000213132993606,-0.978828819635134,0.204677391859678,1283.720064186,-149.2840074642,200.5580100279,-0.0922462022486763,0.077349300022182,-0.077349300022182,2023-03-04 16:19:26.693380096
7,1677946766.80737,44989.471838044,1677946766.80737,44989.471838044,28910,1.35822722913205e+19,1,512,8,731041120,0.8,STORED,121,0,219,0,0,0,EN,EN,731041120.799996,YES,34651203,25,85,12,19,13.60000017,10.4599997908,10.4599997908,10.3549997929,12.1840006092,10.1199997975999,10.50100042004,10.50100042004,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6225000249,0.02450000098,0.02450000098,5.02400020096,17.37650069506,14.89650059586,13.44350053774,1.45550005822,-0.18300000732,0.42700001708,OFF,731041120.999996,-2307.42164462891,-5266.00639669966,-3393.8158103092,3.626114845,-4.55543516,4.61710197,-28.6712585664369,5749.20381253979,-3393.94125030292,-5.56838644,2.69687027,4.629463865,YES,731041120,-2311.04190444789,-5261.4235769288,-3398.41743007911,3.623803435,-4.56101362,4.613116965,14.4085711404,15.3228568364,14,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.273052090538958,0.851427309971453,-0.309004438319911,0.324083798518323,-0.00100572,-0.00042726,0.001768005,YES,NO,YES,948,0,0.0025000001,52,46,14,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,3,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.375359990616,-0.926879976828,-0.000679999983,-0.356599991085,-0.356599991085,0.863519978412,-0.620239984494,0.284879992878,-0.730879981728,-0.0010957089671287,0.000215530993534,-0.978378718648637,0.206818220795453,1276.320063816,-312.5020156251,198.4300099215,-0.0853707089133713,0.0859436666913134,-0.0911002866927922,2023-03-04 16:19:26.807369984
8,1677946766.91237,44989.4718392593,1677946766.91237,44989.4718392593,28911,1.35822722913205e+19,1,512,9,731041180,0.8,STORED,121,0,219,0,0,0,EN,EN,731041180.799995,YES,34651503,25,85,12,19,12.80000016,10.3099997938,10.3949997920999,10.2699997945999,12.2220006111,10.1199997975999,10.375000415,10.43800041752,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.62850002514,0.02450000098,0.02450000098,5.02400020096,16.06850064274,15.05450060218,13.42350053694,1.5400000616,-0.11600000464,0.65650002626,OFF,731041180.999995,-2085.64199571789,-5527.36218363187,-3108.77912456103,3.764002745,-4.154718075,4.879841245,-362.414341879282,5896.95856515205,-3108.16320459183,-5.552406915,2.22781819,4.892182875,YES,731041180,-2089.40415552978,-5523.20300383983,-3113.65392431729,3.761857905,-4.161551365,4.87557827,14.3457139987999,15.2028568387999,14,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.242626640147467,0.870387655592246,-0.260507897289841,0.340137087197258,-0.001097805,-0.0002284,0.00169188,YES,NO,YES,948,0,0.0025000001,61,44,18,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.277479993063,-0.960719975982,-0.000879999978,-0.375079990623,-0.375079990623,0.847719978807,-0.601559984961,0.395519990112,-0.694039982649,-0.0010952349671429,0.0002179269934621,-0.977923934662281,0.208958058731258,1247.3820623691,-454.6120227306,193.5520096776,-0.0905273289148501,0.0974028222501551,-0.0951109911383868,2023-03-04 16:19:26.912369920
9,1677946767.13576,44989.4718418403,1677946767.13576,44989.4718418403,28912,1.35822722913205e+19,1,512,10,731041240,0.8,STORED,121,0,219,0,0,0,EN,EN,731041240.799996,YES,34651803,25,85,12,19,12.80000016,10.2049997959,10.3749997924999,10.1849997963,12.1240006062,10.1449997970999,10.20650040826,10.43800041752,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.62850002514,0.02450000098,0.02450000098,5.02400020096,4.4125001765,14.61900058476,13.32350053294,0.76050003042,-0.79950003198,0.0,OFF,731041240.999996,-1856.03394719829,-5764.18121179092,-2808.7136595643,3.887404565,-3.73597888,5.118257915,-694.416085279193,6016.31443918426,-2807.35931963202,-5.509986815,1.74874079,5.130520495,YES,731041240,-1859.91948700402,-5760.44059197795,-2813.83219930838,3.885479425,-3.74313504,5.11401923,14.1028568608,15.0171425568,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,180.9989879334,NOT_ACTIVE,NO,YES,-0.216310590173788,0.886039279279214,-0.21330597373388,0.350206575995868,-0.001265955,-0.000223615,0.00156595,YES,NO,YES,948,0,0.0025000001,68,41,23,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.189159995271,-0.981959975451,-0.000839999979,-0.396679990083,-0.396639990084,0.827839979304,-0.572279985693,0.494839987629,-0.653919983652,-0.0010947559671573,0.0002203229933903,-0.977464471676064,0.211096897667092,1207.2160603608,-573.3780286689,191.6100095805,-0.100267611139865,0.0974028222501551,-0.102559442251633,2023-03-04 16:19:27.135760128
