,TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D,timestamp_
0,2022-02-10 14:17:33 -0500,1,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,2,186,9,0,2,0,0,65,0,2,27.92306137084961,28.412168502807617,28.386402130126957,28.23185920715332,28.437938690185547,27.948780059814453,0.0023910892195999,0.0023910892195999,0.0023910892195999,0.1801287084817886,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-02-10 14:17:33-05:00
1,2022-02-10 14:17:35 -0500,1,1,1,0,0,0,0,0,0,85,0,0,0,0,0,0,2,18,9,0,2,0,0,65,0,2,28.128883361816406,28.489484786987305,28.412168502807617,28.103147506713867,28.412168502807617,28.15462303161621,0.0247079208493232,0.0023910892195999,0.0031881188042461,0.0972376242280006,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
2,2022-02-10 14:17:40 -0500,1,1,2,0,0,0,0,0,0,85,0,0,0,0,0,0,2,99,9,0,2,0,0,65,0,1,27.89734649658203,28.36063766479492,28.489484786987305,28.28336334228516,28.437938690185547,28.051681518554688,0.0151435639709234,0.001594059402123,0.001594059402123,0.099628709256649,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
3,2022-02-10 14:17:45 -0500,1,1,3,0,0,0,0,0,0,85,0,0,0,0,0,0,2,180,9,0,2,0,0,65,0,2,27.820215225219727,28.437938690185547,28.51526260375977,28.15462303161621,28.51526260375977,28.051681518554688,0.010361386463046,0.001594059402123,0.0023910892195999,0.1203514859080314,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
4,2022-02-10 14:17:50 -0500,1,1,4,0,0,0,0,0,0,85,0,0,0,0,0,0,2,220,9,0,2,0,0,65,0,1,27.89734649658203,28.489484786987305,28.51526260375977,28.412168502807617,28.54104232788086,28.103147506713867,0.0278960391879081,0.0023910892195999,0.0023910892195999,0.1099900975823402,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
5,2022-02-10 14:17:55 -0500,1,1,5,0,0,0,0,0,0,85,0,0,0,0,0,0,2,109,9,0,2,0,0,65,0,1,28.025951385498047,28.592609405517575,28.54104232788086,28.386402130126957,28.489484786987305,28.128883361816406,0.0023910892195999,0.001594059402123,0.0023910892195999,0.188896045088768,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
6,2022-02-10 14:18:00 -0500,1,1,6,0,0,0,0,0,0,85,0,0,0,0,0,0,2,125,9,0,2,0,0,65,0,2,28.000225067138672,28.79899024963379,28.489484786987305,28.386402130126957,28.721576690673828,28.000225067138672,0.0143465343862771,0.0023910892195999,0.0031881188042461,0.0916584134101867,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
7,2022-02-10 14:18:05 -0500,1,1,7,0,0,0,0,0,0,85,0,0,0,0,0,0,2,201,9,0,2,0,0,65,0,1,27.92306137084961,28.644189834594727,28.61839866638184,28.28336334228516,28.489484786987305,28.15462303161621,0.0023910892195999,0.0023910892195999,0.0023910892195999,0.1530297100543975,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
8,2022-02-10 14:18:10 -0500,1,1,8,0,0,0,0,0,0,85,0,0,0,0,0,0,2,152,9,0,2,0,0,65,0,1,28.077411651611328,28.46371078491211,28.695777893066406,28.386402130126957,28.721576690673828,28.28336334228516,0.010361386463046,0.0023910892195999,0.0023910892195999,0.0940495058894157,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
9,2022-02-10 14:18:15 -0500,1,1,9,0,0,0,0,0,0,85,0,0,0,0,0,0,2,51,9,0,2,0,0,65,0,1,27.92306137084961,28.51526260375977,28.644189834594727,28.33487701416016,28.644189834594727,28.23185920715332,0.0063762376084923,0.0023910892195999,0.001594059402123,0.2877277135848999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
10,2022-02-10 14:18:20 -0500,1,1,10,0,0,0,0,0,0,85,0,0,0,0,0,0,2,114,9,0,2,0,0,65,0,2,28.103147506713867,28.61839866638184,28.66998291015625,28.46371078491211,28.66998291015625,28.28336334228516,0.0127524752169847,0.0023910892195999,0.0055792080238461,0.1036138609051704,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
11,2022-02-10 14:18:25 -0500,1,1,11,0,0,0,0,0,0,85,0,0,0,0,0,0,2,248,9,0,2,0,0,65,0,1,28.077411651611328,28.61839866638184,28.61839866638184,28.412168502807617,28.592609405517575,28.33487701416016,0.023910891264677,0.0023910892195999,0.0023910892195999,0.199257418513298,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
12,2022-02-10 14:18:30 -0500,1,1,12,0,0,0,0,0,0,85,0,0,0,0,0,0,2,197,9,0,2,0,0,65,0,1,28.051681518554688,28.79899024963379,28.566823959350582,28.412168502807617,28.592609405517575,28.128883361816406,0.0023910892195999,0.001594059402123,0.0063762376084923,0.118757426738739,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
13,2022-02-10 14:18:35 -0500,1,1,13,0,0,0,0,0,0,85,0,0,0,0,0,0,2,125,9,0,2,0,0,65,0,1,28.051681518554688,28.74737930297852,28.51526260375977,28.33487701416016,28.79899024963379,28.18036651611328,0.001594059402123,0.0023910892195999,0.0071732671931385,0.2869306802749634,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
14,2022-02-10 14:18:40 -0500,1,1,14,0,0,0,0,0,0,85,0,0,0,0,0,0,2,88,9,0,2,0,0,65,0,1,28.15462303161621,28.54104232788086,28.51526260375977,28.437938690185547,28.721576690673828,28.412168502807617,0.0143465343862771,0.0023910892195999,0.0135495048016309,0.1602029651403427,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
15,2022-02-10 14:18:45 -0500,1,1,15,0,0,0,0,0,0,85,0,0,0,0,0,0,2,195,9,0,2,0,0,65,0,1,28.025951385498047,28.489484786987305,28.74737930297852,28.36063766479492,28.695777893066406,28.28336334228516,0.001594059402123,0.0023910892195999,0.0007970297010615,0.1219455450773239,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
16,2022-02-10 14:18:50 -0500,1,1,16,0,0,0,0,0,0,85,0,0,0,0,0,0,2,154,9,0,2,0,0,65,0,1,28.15462303161621,28.61839866638184,28.644189834594727,28.437938690185547,28.695777893066406,28.46371078491211,0.010361386463046,0.0023910892195999,0.0199257433414459,0.1817227751016616,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
17,2022-02-10 14:18:55 -0500,1,1,17,0,0,0,0,0,0,85,0,0,0,0,0,0,2,120,9,0,2,0,0,65,0,1,28.025951385498047,28.695777893066406,28.79899024963379,28.489484786987305,28.695777893066406,28.28336334228516,0.010361386463046,0.0023910892195999,0.0079702967777848,0.1283217817544937,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
18,2022-02-10 14:19:00 -0500,1,1,18,0,0,0,0,0,0,85,0,0,0,0,0,0,2,122,9,0,2,0,0,65,0,1,27.87163352966309,28.74737930297852,28.721576690673828,28.566823959350582,28.695777893066406,28.46371078491211,0.0199257433414459,0.0023910892195999,0.0023910892195999,0.1346980184316635,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
19,2022-02-10 14:28:45 -0500,1,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,2,47,9,0,2,0,0,65,0,1,28.051681518554688,29.44503402709961,29.26397132873535,29.08304214477539,29.470911026000977,29.057205200195312,0.0964405909180641,0.0023910892195999,0.0023910892195999,0.1578118801116943,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
20,2022-02-10 14:28:47 -0500,1,1,1,0,0,0,0,0,0,85,0,0,0,0,0,0,2,137,9,0,2,0,0,65,0,1,28.54104232788086,29.31569099426269,29.26397132873535,29.0313720703125,29.496789932250977,29.0313720703125,0.0836881175637245,0.0326782166957855,0.001594059402123,0.2144009917974472,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
21,2022-02-10 14:28:52 -0500,1,1,2,0,0,0,0,0,0,85,0,0,0,0,0,0,2,234,9,0,2,0,0,65,0,1,28.437938690185547,29.44503402709961,29.238117218017575,29.0313720703125,29.393287658691406,29.16056632995605,0.1147722750902175,0.0023910892195999,0.0023910892195999,0.098831683397293,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
22,2022-02-10 14:28:57 -0500,1,1,3,0,0,0,0,0,0,85,0,0,0,0,0,0,2,46,9,0,2,0,0,65,0,1,28.36063766479492,29.393287658691406,29.212263107299805,29.08304214477539,29.367420196533203,29.057205200195312,0.0645594075322151,0.0390544570982456,0.0023910892195999,0.2550494968891144,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
23,2022-02-10 14:29:02 -0500,1,1,4,0,0,0,0,0,0,85,0,0,0,0,0,0,2,195,9,0,2,0,0,65,0,1,28.386402130126957,29.419158935546875,29.28982925415039,29.057205200195312,29.52267265319824,29.057205200195312,0.084485150873661,0.0071732671931385,0.001594059402123,0.2446881234645843,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
24,2022-02-10 14:29:07 -0500,1,1,5,0,0,0,0,0,0,85,0,0,0,0,0,0,2,44,9,0,2,0,0,65,0,1,28.28336334228516,29.28982925415039,29.28982925415039,28.850610733032227,29.419158935546875,28.95388603210449,0.0868762359023094,0.0247079208493232,0.0023910892195999,0.2654109001159668,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
25,2022-02-10 14:29:12 -0500,1,1,6,0,0,0,0,0,0,85,0,0,0,0,0,0,2,107,9,0,2,0,0,65,0,1,28.46371078491211,29.1088809967041,29.341552734375,28.92806434631348,29.44503402709961,28.95388603210449,0.0852821767330169,0.010361386463046,0.001594059402123,0.1960693001747131,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
26,2022-02-10 14:29:17 -0500,1,1,7,0,0,0,0,0,0,85,0,0,0,0,0,0,2,78,9,0,2,0,0,65,0,1,28.437938690185547,29.470911026000977,29.212263107299805,29.00554084777832,29.60033416748047,29.00554084777832,0.0884702950716018,0.0446336641907691,0.0023910892195999,0.1131782159209251,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
27,2022-02-10 14:29:22 -0500,1,1,8,0,0,0,0,0,0,85,0,0,0,0,0,0,2,187,9,0,2,0,0,65,0,1,28.36063766479492,29.44503402709961,29.28982925415039,29.00554084777832,29.393287658691406,28.979711532592773,0.1028168350458145,0.0175346527248621,0.0023910892195999,0.322797030210495,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
28,2022-02-10 14:29:27 -0500,1,1,9,0,0,0,0,0,0,85,0,0,0,0,0,0,2,107,9,0,2,0,0,65,0,1,28.386402130126957,29.28982925415039,29.31569099426269,29.0313720703125,29.496789932250977,29.1088809967041,0.0948465317487716,0.0151435639709234,0.0023910892195999,0.2582376301288605,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
29,2022-02-10 14:29:32 -0500,1,1,10,0,0,0,0,0,0,85,0,0,0,0,0,0,2,77,9,0,2,0,0,65,0,1,28.46371078491211,29.26397132873535,29.26397132873535,29.00554084777832,29.52267265319824,28.90224266052246,0.1155693084001541,0.0366633646190166,0.001594059402123,0.0765148550271987,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
30,2022-02-10 14:29:37 -0500,1,1,11,0,0,0,0,0,0,85,0,0,0,0,0,0,2,114,9,0,2,0,0,65,0,1,28.412168502807617,29.44503402709961,29.26397132873535,29.134721755981445,29.44503402709961,28.92806434631348,0.099628709256649,0.0023910892195999,0.0023910892195999,0.1498415768146515,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
31,2022-02-10 14:29:42 -0500,1,1,12,0,0,0,0,0,0,85,0,0,0,0,0,0,2,236,9,0,2,0,0,65,0,1,28.412168502807617,29.52267265319824,29.18641471862793,28.92806434631348,29.470911026000977,29.0313720703125,0.1060049533843994,0.0023910892195999,0.0023910892195999,0.2422970235347747,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
32,2022-02-10 14:29:47 -0500,1,1,13,0,0,0,0,0,0,85,0,0,0,0,0,0,2,108,9,0,2,0,0,65,0,1,28.437938690185547,29.52267265319824,29.238117218017575,28.92806434631348,29.52267265319824,29.16056632995605,0.0908613875508308,0.0398514866828918,0.0023910892195999,0.1729554384946823,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
33,2022-02-10 14:29:53 -0500,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,212,9,0,2,0,0,65,0,1,28.36063766479492,29.470911026000977,29.367420196533203,29.0313720703125,29.496789932250977,28.979711532592773,0.065356433391571,0.0270990096032619,0.0023910892195999,0.0151435639709234,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,
