,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
0,727897796,727897756,2023-01-24 17:49:18 UTC,1,1,47,0,0,0,0,0,0,85,0,0,0,0,0,0,2,101,9,0,2,0,0,65,0,2,6.022271156311035,6.516149044036865,7.1762566566467285,5.810924053192139,6.704563617706299,4.173529148101807,0.1075990125536918,0.0462277233600616,0.0023910892195999,0.199257418513298,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
1,727897801,727897761,2023-01-24 17:49:23 UTC,1,1,48,0,0,0,0,0,0,85,0,0,0,0,0,0,2,231,9,0,2,0,0,65,0,2,6.022271156311035,6.539692401885986,7.152649879455566,6.04576587677002,6.657445907592773,4.103608131408691,0.0980346500873565,0.0685445517301559,0.0023910892195999,0.1028168350458145,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
2,727897806,727897766,2023-01-24 17:49:28 UTC,1,1,49,0,0,0,0,0,0,85,0,0,0,0,0,0,2,147,9,0,2,0,0,65,0,2,6.069262981414795,6.539692401885986,7.388824939727783,5.834397792816162,6.58678674697876,4.243470668792725,0.1068019792437553,0.0334752462804317,0.001594059402123,0.2335297018289566,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
3,727897811,727897771,2023-01-24 17:49:33 UTC,1,1,50,0,0,0,0,0,0,85,0,0,0,0,0,0,2,108,9,0,2,0,0,65,0,2,6.1162638664245605,6.539692401885986,7.270708084106445,5.97528886795044,6.657445907592773,4.057005405426025,0.1083960384130477,0.0318811871111393,0.0023910892195999,0.101222775876522,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,727897816,727897776,2023-01-24 17:49:38 UTC,1,1,51,0,0,0,0,0,0,85,0,0,0,0,0,0,2,16,9,0,2,0,0,65,0,2,6.069262981414795,6.539692401885986,7.19986629486084,5.951801300048828,6.58678674697876,4.173529148101807,0.1490445584058761,0.0717326700687408,0.001594059402123,0.1458564400672912,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
5,727897821,727897781,2023-01-24 17:49:43 UTC,1,1,52,0,0,0,0,0,0,85,0,0,0,0,0,0,2,31,9,0,2,0,0,65,0,2,6.069262981414795,6.610337734222412,7.19986629486084,5.857873916625977,6.563238620758057,4.196840763092041,0.1219455450773239,0.0342722758650779,0.0023910892195999,0.1331039667129516,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
6,727897826,727897786,2023-01-24 17:49:48 UTC,1,1,53,0,0,0,0,0,0,85,0,0,0,0,0,0,2,221,9,0,2,0,0,65,0,2,6.23380708694458,6.657445907592773,7.341570854187012,5.857873916625977,6.704563617706299,4.196840763092041,0.1402772217988968,0.0358663350343704,0.001594059402123,0.0948465317487716,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
7,727897831,727897791,2023-01-24 17:49:53 UTC,1,1,54,0,0,0,0,0,0,85,0,0,0,0,0,0,2,94,9,0,2,0,0,65,0,2,6.069262981414795,6.563238620758057,7.341570854187012,5.90483283996582,6.681003570556641,4.360086441040039,0.1211485117673873,0.047821782529354,0.001594059402123,0.133900985121727,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
8,727897836,727897796,2023-01-24 17:49:58 UTC,1,1,55,0,0,0,0,0,0,85,0,0,0,0,0,0,2,91,9,0,2,0,0,65,0,2,6.210293769836426,6.657445907592773,7.483360767364502,6.022271156311035,6.751690864562988,4.336758613586426,0.1354950517416,0.0398514866828918,0.001594059402123,0.1434653401374817,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
9,727897841,727897801,2023-01-24 17:50:03 UTC,1,1,56,0,0,0,0,0,0,85,0,0,0,0,0,0,2,118,9,0,2,0,0,65,0,2,6.092761993408203,6.58678674697876,7.341570854187012,5.998778820037842,6.633890628814697,4.313433170318604,0.1402772217988968,0.047821782529354,0.0023910892195999,0.101222775876522,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
